accuracy,error_rate,average_response_time,completion_rate,current_difficulty,recommended_difficulty
76.5,37.4,4.38,84.5,Easy,Easy
47.5,49.5,13.4,43.0,Hard,Medium
75.6,31.1,4.91,76.1,Easy,Easy
96.6,12.6,3.27,90.3,Hard,Hard
47.2,51.8,13.6,31.5,Easy,Easy
93.7,14.9,3.9,89.9,Hard,Hard
59.7,23.2,5.9,69.5,Hard,Hard
35.3,74.1,16.4,40.9,Medium,Easy
33.6,55.1,16.19,34.9,Hard,Medium
80.1,15.7,2.99,95.6,Hard,Hard
69.2,23.5,4.46,78.4,Easy,Easy
69.1,39.1,6.54,76.1,Hard,Hard
80.6,8.7,1.64,91.1,Easy,Medium
28.2,47.0,11.38,40.3,Medium,Easy
74.6,36.6,5.63,81.3,Medium,Medium
80.5,1.8,3.17,91.9,Medium,Hard
58.8,37.4,5.78,72.6,Hard,Hard
92.6,7.2,1.26,86.8,Easy,Medium
44.5,54.3,19.63,57.3,Medium,Easy
35.7,54.5,9.16,61.6,Hard,Medium
86.1,11.6,1.53,97.8,Easy,Medium
45.2,60.1,15.53,50.4,Medium,Easy
88.3,0.8,2.48,89.9,Easy,Medium
82.1,11.8,1.51,98.9,Medium,Hard
91.8,0.5,3.88,92.2,Hard,Hard
22.9,62.0,13.89,62.8,Medium,Easy
61.7,28.3,6.08,73.8,Easy,Easy
96.5,17.9,1.42,93.3,Medium,Hard
29.8,68.1,16.72,56.9,Easy,Easy
98.3,4.6,1.11,93.3,Easy,Medium
48.3,56.1,19.43,40.2,Medium,Easy
61.4,43.4,4.66,65.9,Medium,Medium
51.2,71.2,18.69,61.3,Easy,Easy
62.9,39.3,6.65,72.5,Medium,Medium
29.2,77.8,10.89,34.3,Hard,Medium
25.4,51.3,15.19,60.6,Easy,Easy
95.5,19.4,2.5,87.2,Easy,Medium
84.6,2.6,3.03,86.8,Easy,Medium
40.3,52.0,17.65,55.0,Easy,Easy
24.6,49.3,19.13,43.9,Medium,Easy
71.6,43.9,5.15,83.5,Hard,Hard
91.1,12.7,1.32,87.1,Easy,Medium
40.9,77.7,17.65,46.4,Hard,Medium
20.6,48.8,17.95,57.9,Medium,Easy
70.2,41.7,6.41,73.3,Medium,Medium
65.6,36.3,7.47,74.1,Easy,Easy
94.9,16.3,1.32,86.0,Medium,Hard
58.7,40.6,5.24,67.9,Easy,Easy
85.7,3.1,1.35,85.3,Hard,Hard
83.5,1.1,2.77,95.2,Hard,Hard
90.1,17.5,3.55,85.7,Hard,Hard
84.7,5.0,2.71,91.2,Medium,Hard
68.1,22.5,7.33,66.0,Easy,Easy
23.5,74.5,18.83,64.3,Easy,Easy
